Product sub attributes,
,
Shop-> Earrings->Adults,25
Shop->Earrings->Babies,24
,
Shop-> Children->Children,27
Shop->Children->Babies,26
,
,
Shop-> Bracelets->Adults,29
Shop->Bracelets->Babies,28
